 VARIABLES = "R","Z","Tmpr      "
ZONE F=POINT, I= 103, J= 103
 0.00000E+00  0.00000E+00  0.00000E+00
 0.49709E-05  0.00000E+00  0.13789E-08
 0.16001E-04  0.00000E+00  0.44385E-08
 0.29447E-04  0.00000E+00  0.81680E-08
 0.45836E-04  0.00000E+00  0.12714E-07
 0.65814E-04  0.00000E+00  0.18254E-07
 0.90165E-04  0.00000E+00  0.25007E-07
 0.11985E-03  0.00000E+00  0.33235E-07
 0.15603E-03  0.00000E+00  0.43259E-07
 0.20013E-03  0.00000E+00  0.55469E-07
 0.25388E-03  0.00000E+00  0.70333E-07
 0.31939E-03  0.00000E+00  0.88418E-07
 0.39924E-03  0.00000E+00  0.11040E-06
 0.49656E-03  0.00000E+00  0.13708E-06
 0.61516E-03  0.00000E+00  0.16938E-06
 0.75970E-03  0.00000E+00  0.20837E-06
 0.93583E-03  0.00000E+00  0.25520E-06
 0.11504E-02  0.00000E+00  0.31102E-06
 0.14119E-02  0.00000E+00  0.37684E-06
 0.17305E-02  0.00000E+00  0.45319E-06
 0.21186E-02  0.00000E+00  0.53959E-06
 0.25912E-02  0.00000E+00  0.63381E-06
 0.31667E-02  0.00000E+00  0.73096E-06
 0.38673E-02  0.00000E+00  0.82292E-06
 0.47200E-02  0.00000E+00  0.89943E-06
 0.57574E-02  0.00000E+00  0.95204E-06
 0.70191E-02  0.00000E+00  0.97971E-06
 0.85527E-02  0.00000E+00  0.98962E-06
 0.10416E-01  0.00000E+00  0.99114E-06
 0.12677E-01  0.00000E+00  0.98995E-06
 0.15420E-01  0.00000E+00  0.98804E-06
 0.18742E-01  0.00000E+00  0.98580E-06
 0.22762E-01  0.00000E+00  0.98324E-06
 0.27617E-01  0.00000E+00  0.98035E-06
 0.33469E-01  0.00000E+00  0.97709E-06
 0.40509E-01  0.00000E+00  0.97345E-06
 0.48950E-01  0.00000E+00  0.96940E-06
 0.59040E-01  0.00000E+00  0.96493E-06
 0.71052E-01  0.00000E+00  0.96006E-06
 0.85282E-01  0.00000E+00  0.95481E-06
 0.10204E+00  0.00000E+00  0.94922E-06
 0.12166E+00  0.00000E+00  0.94337E-06
 0.14443E+00  0.00000E+00  0.93735E-06
 0.17063E+00  0.00000E+00  0.93128E-06
 0.20047E+00  0.00000E+00  0.92533E-06
 0.23404E+00  0.00000E+00  0.91965E-06
 0.27131E+00  0.00000E+00  0.91444E-06
 0.31210E+00  0.00000E+00  0.90987E-06
 0.35601E+00  0.00000E+00  0.90611E-06
 0.40249E+00  0.00000E+00  0.90331E-06
 0.45077E+00  0.00000E+00  0.90159E-06
 0.50000E+00  0.00000E+00  0.90101E-06
 0.54923E+00  0.00000E+00  0.90159E-06
 0.59751E+00  0.00000E+00  0.90331E-06
 0.64399E+00  0.00000E+00  0.90611E-06
 0.68790E+00  0.00000E+00  0.90986E-06
 0.72869E+00  0.00000E+00  0.91443E-06
 0.76596E+00  0.00000E+00  0.91964E-06
 0.79953E+00  0.00000E+00  0.92532E-06
 0.82937E+00  0.00000E+00  0.93127E-06
 0.85557E+00  0.00000E+00  0.93734E-06
 0.87834E+00  0.00000E+00  0.94336E-06
 0.89796E+00  0.00000E+00  0.94921E-06
 0.91472E+00  0.00000E+00  0.95479E-06
 0.92895E+00  0.00000E+00  0.96004E-06
 0.94096E+00  0.00000E+00  0.96490E-06
 0.95105E+00  0.00000E+00  0.96936E-06
 0.95949E+00  0.00000E+00  0.97341E-06
 0.96653E+00  0.00000E+00  0.97704E-06
 0.97238E+00  0.00000E+00  0.98029E-06
 0.97724E+00  0.00000E+00  0.98317E-06
 0.98126E+00  0.00000E+00  0.98571E-06
 0.98458E+00  0.00000E+00  0.98793E-06
 0.98732E+00  0.00000E+00  0.98981E-06
 0.98958E+00  0.00000E+00  0.99097E-06
 0.99145E+00  0.00000E+00  0.98942E-06
 0.99298E+00  0.00000E+00  0.97945E-06
 0.99424E+00  0.00000E+00  0.95174E-06
 0.99528E+00  0.00000E+00  0.89908E-06
 0.99613E+00  0.00000E+00  0.82254E-06
 0.99683E+00  0.00000E+00  0.73056E-06
 0.99741E+00  0.00000E+00  0.63342E-06
 0.99788E+00  0.00000E+00  0.53921E-06
 0.99827E+00  0.00000E+00  0.45284E-06
 0.99859E+00  0.00000E+00  0.37653E-06
 0.99885E+00  0.00000E+00  0.31075E-06
 0.99906E+00  0.00000E+00  0.25497E-06
 0.99924E+00  0.00000E+00  0.20818E-06
 0.99938E+00  0.00000E+00  0.16922E-06
 0.99950E+00  0.00000E+00  0.13695E-06
 0.99960E+00  0.00000E+00  0.11029E-06
 0.99968E+00  0.00000E+00  0.88334E-07
 0.99975E+00  0.00000E+00  0.70267E-07
 0.99980E+00  0.00000E+00  0.55416E-07
 0.99984E+00  0.00000E+00  0.43218E-07
 0.99988E+00  0.00000E+00  0.33203E-07
 0.99991E+00  0.00000E+00  0.24983E-07
 0.99993E+00  0.00000E+00  0.18237E-07
 0.99995E+00  0.00000E+00  0.12702E-07
 0.99997E+00  0.00000E+00  0.81601E-08
 0.99998E+00  0.00000E+00  0.44342E-08
 0.10000E+01  0.00000E+00  0.13775E-08
 0.10000E+01  0.00000E+00  0.00000E+00
 0.00000E+00  0.49709E-05  0.00000E+00
 0.49709E-05  0.49709E-05  0.13789E-08
 0.16001E-04  0.49709E-05  0.44385E-08
 0.29447E-04  0.49709E-05  0.81680E-08
 0.45836E-04  0.49709E-05  0.12714E-07
 0.65814E-04  0.49709E-05  0.18254E-07
 0.90165E-04  0.49709E-05  0.25007E-07
 0.11985E-03  0.49709E-05  0.33235E-07
 0.15603E-03  0.49709E-05  0.43259E-07
 0.20013E-03  0.49709E-05  0.55469E-07
 0.25388E-03  0.49709E-05  0.70333E-07
 0.31939E-03  0.49709E-05  0.88418E-07
 0.39924E-03  0.49709E-05  0.11040E-06
 0.49656E-03  0.49709E-05  0.13708E-06
 0.61516E-03  0.49709E-05  0.16938E-06
 0.75970E-03  0.49709E-05  0.20837E-06
 0.93583E-03  0.49709E-05  0.25520E-06
 0.11504E-02  0.49709E-05  0.31102E-06
 0.14119E-02  0.49709E-05  0.37684E-06
 0.17305E-02  0.49709E-05  0.45319E-06
 0.21186E-02  0.49709E-05  0.53959E-06
 0.25912E-02  0.49709E-05  0.63381E-06
 0.31667E-02  0.49709E-05  0.73096E-06
 0.38673E-02  0.49709E-05  0.82292E-06
 0.47200E-02  0.49709E-05  0.89943E-06
 0.57574E-02  0.49709E-05  0.95204E-06
 0.70191E-02  0.49709E-05  0.97971E-06
 0.85527E-02  0.49709E-05  0.98962E-06
 0.10416E-01  0.49709E-05  0.99114E-06
 0.12677E-01  0.49709E-05  0.98995E-06
 0.15420E-01  0.49709E-05  0.98804E-06
 0.18742E-01  0.49709E-05  0.98580E-06
 0.22762E-01  0.49709E-05  0.98324E-06
 0.27617E-01  0.49709E-05  0.98035E-06
 0.33469E-01  0.49709E-05  0.97709E-06
 0.40509E-01  0.49709E-05  0.97345E-06
 0.48950E-01  0.49709E-05  0.96940E-06
 0.59040E-01  0.49709E-05  0.96493E-06
 0.71052E-01  0.49709E-05  0.96006E-06
 0.85282E-01  0.49709E-05  0.95481E-06
 0.10204E+00  0.49709E-05  0.94922E-06
 0.12166E+00  0.49709E-05  0.94337E-06
 0.14443E+00  0.49709E-05  0.93735E-06
 0.17063E+00  0.49709E-05  0.93128E-06
 0.20047E+00  0.49709E-05  0.92533E-06
 0.23404E+00  0.49709E-05  0.91965E-06
 0.27131E+00  0.49709E-05  0.91444E-06
 0.31210E+00  0.49709E-05  0.90987E-06
 0.35601E+00  0.49709E-05  0.90611E-06
 0.40249E+00  0.49709E-05  0.90331E-06
 0.45077E+00  0.49709E-05  0.90159E-06
 0.50000E+00  0.49709E-05  0.90101E-06
 0.54923E+00  0.49709E-05  0.90159E-06
